DATE,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
2026-01-26,48.70,56.30,34.10,18.70,129.40,94.70,68.30,14.10,102.60,50.50,38.30,75.60,16.70,61.80,96.80,48.90,30.90,86.90,74.10,13.70,121.80,56.40,40.10,26.80,91.60,63.10
2026-01-27,49.15,56.85,34.55,19.15,130.25,95.35,69.05,14.55,103.55,51.35,39.05,76.45,17.35,62.55,97.65,49.85,31.75,87.85,74.95,14.25,122.95,57.25,40.95,27.75,92.55,64.15
2026-01-28,48.65,56.25,34.05,18.65,129.65,94.85,68.55,14.05,102.95,50.75,38.45,75.85,16.75,61.95,97.05,49.15,31.05,87.15,74.25,13.65,122.15,56.45,40.15,26.95,91.75,63.25
2026-01-29,49.30,57.00,34.70,19.30,130.80,95.80,69.50,14.80,103.80,51.60,39.30,76.80,17.50,62.80,98.00,50.20,32.00,88.20,75.30,14.50,123.30,57.40,41.20,28.10,93.00,64.50
2026-01-30,49.65,57.45,35.15,19.75,131.65,96.45,70.15,15.25,104.65,52.35,39.95,77.65,18.15,63.55,98.85,51.05,32.85,89.05,76.15,15.05,124.25,58.15,41.95,28.85,93.85,65.45
2026-01-31,49.25,56.95,34.75,19.35,131.15,95.95,69.75,14.85,104.15,51.85,39.45,77.15,17.65,63.05,98.35,50.45,32.25,88.45,75.55,14.55,123.65,57.55,41.35,28.25,93.25,64.85
2026-02-01,50.00,57.80,35.50,20.10,132.30,96.90,70.70,15.60,105.10,52.80,40.40,78.20,18.50,64.10,99.50,51.70,33.60,89.70,76.90,15.70,125.10,58.80,42.70,29.70,94.70,66.40
2026-02-02,50.35,58.25,35.85,20.45,133.05,97.45,71.25,16.05,105.85,53.45,41.05,78.95,19.15,64.75,100.15,52.45,34.35,90.45,77.65,16.25,125.95,59.55,43.45,30.45,95.45,67.25
2026-02-03,49.95,57.75,35.45,20.05,132.55,96.95,70.75,15.65,105.35,52.95,40.55,78.45,18.65,64.25,99.65,51.85,33.75,89.85,77.05,15.75,125.35,58.95,42.85,29.85,94.85,66.55
2026-02-04,50.60,58.50,36.10,20.70,133.50,97.80,71.60,16.40,106.30,53.80,41.30,79.40,19.40,65.10,100.50,52.80,34.80,90.90,78.10,16.70,126.70,60.10,43.90,31.00,96.10,67.90
2026-02-05,50.95,58.95,36.55,21.15,134.35,98.45,72.25,16.85,107.15,54.55,42.05,80.25,20.05,65.85,101.35,53.65,35.65,91.75,78.95,17.35,127.75,60.85,44.75,31.85,96.95,68.85
2026-02-06,50.55,58.45,36.15,20.75,133.85,97.95,71.75,16.35,106.65,54.05,41.55,79.75,19.55,65.35,100.85,53.05,35.05,91.15,78.35,16.75,127.15,60.25,44.15,31.25,96.35,68.25
2026-02-07,51.20,59.20,36.80,21.40,134.90,98.80,72.60,17.10,107.50,55.00,42.40,80.70,20.40,66.30,101.80,54.10,36.10,92.10,79.40,17.70,128.40,61.40,45.30,32.40,97.60,69.60
2026-02-08,51.65,59.75,37.35,21.95,135.85,99.55,73.45,17.75,108.45,55.95,43.35,81.65,21.25,67.15,102.75,55.05,37.15,93.15,80.45,18.55,129.55,62.35,46.25,33.35,98.55,70.65
2026-02-09,51.15,59.15,36.85,21.45,135.25,98.95,72.85,17.25,107.85,55.35,42.75,81.05,20.65,66.55,102.15,54.35,36.45,92.45,79.75,17.85,128.85,61.65,45.55,32.65,97.85,69.95
2026-02-10,51.80,59.90,37.50,22.10,136.20,99.80,73.70,18.10,108.70,56.20,43.60,81.90,21.50,67.40,103.00,55.20,37.30,93.30,80.60,18.70,130.10,62.80,46.70,33.80,98.80,71.00
2026-02-11,52.25,60.45,38.05,22.65,137.15,100.65,74.55,18.75,109.65,57.15,44.55,82.85,22.35,68.25,103.95,56.15,38.35,94.35,81.65,19.65,131.15,63.75,47.65,34.75,99.85,72.15
2026-02-12,51.75,59.85,37.55,22.15,136.55,100.05,73.95,18.15,109.05,56.55,43.95,82.25,21.75,67.65,103.35,55.55,37.75,93.75,81.05,19.05,130.55,63.15,47.05,34.15,99.25,71.55
2026-02-13,52.40,60.60,38.20,22.80,137.60,101.00,74.90,19.00,110.00,57.50,44.90,83.20,22.60,68.50,104.30,56.60,38.90,94.90,82.10,20.10,131.90,64.30,48.20,35.30,100.40,72.80
2026-02-14,52.85,61.15,38.75,23.35,138.55,101.85,75.75,19.75,110.95,58.45,45.85,84.15,23.45,69.45,105.25,57.55,39.95,95.95,83.15,21.05,132.95,65.25,49.15,36.25,101.35,73.85
2026-02-15,52.35,60.55,38.25,22.85,137.95,101.25,75.15,19.15,110.35,57.85,45.25,83.55,22.85,68.85,104.65,56.95,39.35,95.35,82.55,20.45,132.35,64.65,48.55,35.65,100.75,73.25
2026-02-16,53.00,61.30,38.90,23.50,139.00,102.20,76.10,20.00,111.30,58.80,46.20,84.50,23.80,69.80,105.60,57.90,40.40,96.40,83.60,21.50,133.70,65.80,49.70,36.80,101.80,74.40
2026-02-17,53.45,61.85,39.45,24.05,139.95,103.05,76.95,20.85,112.25,59.75,47.15,85.45,24.75,70.75,106.55,58.85,41.45,97.45,84.65,22.45,134.75,66.75,50.65,37.75,102.75,75.45
2026-02-18,53.05,61.35,39.05,23.65,139.45,102.55,76.45,20.35,111.75,59.25,46.65,84.95,24.25,70.25,106.05,58.35,40.95,96.95,84.15,21.95,134.25,66.25,50.15,37.25,102.25,74.95
2026-02-19,53.70,62.10,39.70,24.30,140.50,103.50,77.40,21.20,112.60,60.20,47.60,85.90,25.20,71.20,107.00,59.30,42.00,98.00,85.20,23.00,135.50,67.40,51.20,38.30,103.30,76.10
